date,region,product_category,sales_amount,quantity,unit_price,discount_pct,shipping_cost,customer_rating,return_flag,marketing_spend,profit_margin,customer_age,payment_method
2024-02-05,West,Electronics,1350.00,4,337.50,0.0,48.00,4.6,No,270.00,20.0,41,Credit Card
2024-02-07,North,Home & Kitchen,890.00,7,127.14,10.0,45.00,4.0,No,210.00,26.0,37,Net Banking
2024-02-09,South,Clothing,380.00,5,76.00,15.0,24.00,4.2,No,140.00,34.0,29,UPI
2024-02-10,East,Electronics,5200.00,8,650.00,10.0,95.00,4.8,No,700.00,14.0,52,Credit Card
2024-02-12,West,Home & Kitchen,560.00,4,140.00,8.0,35.00,3.7,No,130.00,28.0,34,Debit Card
2024-02-14,North,Clothing,720.00,12,60.00,20.0,38.00,3.3,Yes,200.00,41.0,20,UPI
2024-02-15,South,Electronics,980.00,2,490.00,0.0,42.00,4.5,No,230.00,22.0,44,Credit Card
2024-02-17,East,Home & Kitchen,1200.00,8,150.00,12.0,50.00,4.1,No,280.00,24.0,46,Net Banking
2024-02-19,West,Clothing,350.00,6,58.33,10.0,20.00,4.0,No,110.00,38.0,25,UPI
2024-02-20,North,Electronics,1650.00,3,550.00,5.0,52.00,4.4,No,310.00,18.0,47,Credit Card
2024-02-22,South,Home & Kitchen,480.00,3,160.00,0.0,30.00,3.8,No,115.00,30.0,33,Debit Card
2024-02-24,East,Clothing,440.00,7,62.86,15.0,26.00,4.3,No,155.00,36.0,28,UPI
2024-02-25,West,Electronics,2400.00,5,480.00,8.0,58.00,4.6,No,400.00,16.0,51,Credit Card
2024-02-27,North,Home & Kitchen,630.00,5,126.00,10.0,38.00,3.9,No,150.00,29.0,36,Net Banking
2024-03-01,South,Clothing,310.00,4,77.50,12.0,19.00,4.1,No,120.00,35.0,26,UPI
2024-03-02,East,Electronics,1800.00,4,450.00,5.0,55.00,4.5,No,320.00,19.0,43,Credit Card
2024-03-04,West,Home & Kitchen,470.00,3,156.67,0.0,28.00,3.7,No,100.00,31.0,35,Debit Card
2024-03-05,North,Clothing,580.00,8,72.50,18.0,32.00,3.5,Yes,165.00,40.0,22,UPI
2024-03-07,South,Electronics,15000.00,10,1500.00,5.0,120.00,4.9,No,800.00,12.0,60,Credit Card
2024-03-09,East,Home & Kitchen,950.00,6,158.33,10.0,48.00,4.0,No,220.00,25.0,40,Net Banking
2024-03-10,West,Clothing,400.00,7,57.14,15.0,22.00,4.2,No,135.00,37.0,27,UPI
2024-03-12,North,Electronics,2200.00,5,440.00,8.0,62.00,4.4,No,380.00,17.0,49,Credit Card
2024-03-14,South,Home & Kitchen,540.00,4,135.00,5.0,32.00,3.8,No,125.00,28.0,34,Debit Card
2024-03-15,East,Clothing,680.00,10,68.00,20.0,35.00,3.4,Yes,185.00,39.0,21,UPI
2024-03-17,West,Electronics,1450.00,3,483.33,0.0,50.00,4.7,No,290.00,21.0,42,Credit Card
2024-03-19,North,Home & Kitchen,820.00,6,136.67,12.0,44.00,4.1,No,195.00,26.0,38,Net Banking
2024-03-20,South,Clothing,290.00,5,58.00,8.0,18.00,4.0,No,105.00,36.0,25,UPI
2024-03-22,East,Electronics,3800.00,7,542.86,10.0,80.00,4.6,No,550.00,15.0,53,Credit Card
2024-03-24,West,Home & Kitchen,430.00,3,143.33,5.0,26.00,3.9,No,110.00,30.0,36,Debit Card
2024-03-25,North,Clothing,510.00,9,56.67,22.0,30.00,3.3,Yes,160.00,43.0,19,UPI
2024-03-27,South,Electronics,1300.00,3,433.33,5.0,48.00,4.5,No,260.00,20.0,45,Credit Card
2024-03-29,East,Home & Kitchen,710.00,5,142.00,10.0,40.00,3.7,No,170.00,27.0,41,Net Banking
2024-03-30,West,Clothing,360.00,6,60.00,12.0,21.00,4.2,No,125.00,35.0,24,UPI
2024-04-01,North,Electronics,2600.00,5,520.00,8.0,68.00,4.3,No,420.00,18.0,48,Credit Card
2024-04-03,South,Home & Kitchen,490.00,4,122.50,0.0,30.00,3.8,No,120.00,29.0,33,Debit Card
2024-04-04,East,Clothing,530.00,7,75.71,15.0,29.00,4.1,No,155.00,37.0,27,UPI
2024-04-06,West,Electronics,1900.00,4,475.00,5.0,58.00,4.5,No,340.00,19.0,44,Credit Card
2024-04-08,North,Home & Kitchen,760.00,5,152.00,10.0,42.00,4.0,No,180.00,26.0,37,Net Banking
2024-04-09,South,Clothing,420.00,6,70.00,18.0,24.00,3.6,Yes,145.00,38.0,23,UPI
2024-04-11,East,Electronics,12500.00,15,833.33,12.0,110.00,4.8,No,750.00,13.0,58,Credit Card
2024-04-13,West,Home & Kitchen,580.00,4,145.00,5.0,34.00,3.9,No,135.00,28.0,35,Debit Card
2024-04-14,North,Clothing,650.00,10,65.00,20.0,35.00,3.5,Yes,175.00,40.0,22,UPI
2024-04-16,South,Electronics,1050.00,2,525.00,0.0,44.00,4.6,No,240.00,22.0,40,Credit Card
2024-04-18,East,Home & Kitchen,1100.00,7,157.14,10.0,48.00,4.2,No,250.00,24.0,43,Net Banking
2024-04-19,West,Clothing,320.00,5,64.00,10.0,19.00,4.0,No,115.00,36.0,26,UPI
2024-04-21,North,Electronics,1700.00,3,566.67,5.0,54.00,4.4,No,300.00,20.0,46,Credit Card
2024-04-23,South,Home & Kitchen,440.00,3,146.67,8.0,27.00,3.7,No,108.00,31.0,32,Debit Card
2024-04-24,East,Clothing,590.00,8,73.75,15.0,32.00,4.3,No,165.00,38.0,28,UPI
2024-04-26,West,Electronics,2900.00,6,483.33,10.0,70.00,4.5,No,480.00,16.0,52,Credit Card
2024-04-28,North,Home & Kitchen,680.00,5,136.00,12.0,40.00,3.8,No,160.00,27.0,38,Net Banking
2024-04-29,South,Clothing,350.00,5,70.00,12.0,20.00,4.1,No,130.00,35.0,25,UPI
2024-05-01,East,Electronics,2050.00,4,512.50,5.0,58.00,4.6,No,350.00,18.0,47,Credit Card
2024-05-03,West,Home & Kitchen,510.00,4,127.50,0.0,30.00,3.9,No,120.00,30.0,34,Debit Card
2024-05-04,North,Clothing,480.00,7,68.57,18.0,28.00,3.4,Yes,150.00,41.0,21,UPI
2024-05-06,South,Electronics,1400.00,3,466.67,5.0,50.00,4.5,No,280.00,21.0,43,Credit Card
2024-05-08,East,Home & Kitchen,870.00,6,145.00,10.0,45.00,4.0,No,200.00,25.0,39,Net Banking
2024-05-09,West,Clothing,410.00,6,68.33,15.0,23.00,4.2,No,140.00,37.0,27,UPI
2024-05-11,North,Electronics,3500.00,7,500.00,8.0,78.00,4.7,No,520.00,15.0,54,Credit Card
2024-05-13,South,Home & Kitchen,560.00,4,140.00,5.0,33.00,3.7,No,130.00,29.0,35,Debit Card
2024-05-14,East,Clothing,700.00,11,63.64,20.0,36.00,3.3,Yes,190.00,42.0,20,UPI
2024-05-16,West,Electronics,1150.00,2,575.00,0.0,46.00,4.4,No,250.00,22.0,41,Credit Card
2024-05-18,North,Home & Kitchen,940.00,7,134.29,12.0,46.00,4.1,No,215.00,24.0,44,Net Banking
2024-05-19,South,Clothing,330.00,5,66.00,10.0,19.00,4.0,No,115.00,36.0,24,UPI
2024-05-21,East,Electronics,18000.00,12,1500.00,10.0,130.00,4.9,No,900.00,11.0,62,Credit Card
2024-05-23,West,Home & Kitchen,470.00,3,156.67,8.0,28.00,3.8,No,112.00,28.0,36,Debit Card
2024-05-24,North,Clothing,620.00,9,68.89,18.0,33.00,3.5,Yes,175.00,39.0,23,UPI
2024-05-26,South,Electronics,1600.00,3,533.33,5.0,52.00,4.6,No,300.00,19.0,46,Credit Card
2024-05-28,East,Home & Kitchen,780.00,5,156.00,10.0,42.00,3.9,No,185.00,26.0,40,Net Banking
2024-05-29,West,Clothing,380.00,6,63.33,12.0,21.00,4.1,No,130.00,35.0,26,UPI
2024-05-31,North,Electronics,2300.00,5,460.00,8.0,60.00,4.3,No,390.00,17.0,49,Credit Card
2024-06-02,South,Home & Kitchen,500.00,3,166.67,0.0,30.00,3.7,No,118.00,30.0,33,Debit Card
2024-06-03,East,Clothing,550.00,8,68.75,15.0,30.00,4.2,No,160.00,38.0,28,UPI
2024-06-05,West,Electronics,1850.00,4,462.50,5.0,56.00,4.5,No,330.00,20.0,43,Credit Card
2024-06-07,North,Home & Kitchen,720.00,5,144.00,10.0,40.00,4.0,No,170.00,27.0,37,Net Banking
2024-06-08,South,Clothing,300.00,4,75.00,12.0,18.00,3.9,No,108.00,36.0,25,UPI
2024-06-10,East,Electronics,4200.00,8,525.00,10.0,85.00,4.7,No,580.00,14.0,55,Credit Card
2024-06-12,West,Home & Kitchen,530.00,4,132.50,5.0,32.00,3.8,No,125.00,29.0,34,Debit Card
2024-06-13,North,Clothing,670.00,10,67.00,20.0,34.00,3.4,Yes,180.00,40.0,22,UPI
2024-06-15,South,Electronics,1250.00,3,416.67,0.0,48.00,4.4,No,260.00,21.0,42,Credit Card
2024-06-17,East,Home & Kitchen,1050.00,7,150.00,12.0,46.00,4.1,No,240.00,25.0,45,Net Banking
2024-06-18,West,Clothing,390.00,6,65.00,15.0,22.00,4.0,No,135.00,37.0,27,UPI
2024-06-20,North,Electronics,2700.00,5,540.00,8.0,66.00,4.6,No,440.00,16.0,51,Credit Card
2024-06-22,South,Home & Kitchen,460.00,3,153.33,5.0,28.00,3.6,No,110.00,31.0,32,Debit Card
2024-06-23,East,Clothing,490.00,7,70.00,18.0,27.00,4.3,No,148.00,39.0,24,UPI
2024-06-25,West,Electronics,1550.00,3,516.67,5.0,50.00,4.5,No,290.00,20.0,44,Credit Card
2024-06-27,North,Home & Kitchen,810.00,6,135.00,10.0,44.00,3.9,No,190.00,26.0,39,Net Banking
2024-06-28,South,Clothing,350.00,5,70.00,12.0,20.00,4.1,No,125.00,35.0,26,UPI
2024-06-30,East,Electronics,2000.00,4,500.00,10.0,58.00,4.4,No,360.00,18.0,48,Credit Card
2024-07-02,West,Home & Kitchen,420.00,3,140.00,0.0,25.00,3.7,No,105.00,30.0,35,Debit Card
2024-07-03,North,Clothing,560.00,8,70.00,20.0,31.00,3.5,Yes,165.00,41.0,21,UPI
2024-07-05,South,Electronics,1350.00,3,450.00,5.0,48.00,4.6,No,270.00,21.0,40,Credit Card
2024-07-07,East,Home & Kitchen,900.00,6,150.00,10.0,45.00,4.0,No,210.00,25.0,42,Net Banking
2024-07-08,West,Clothing,370.00,5,74.00,15.0,21.00,4.2,No,130.00,37.0,27,UPI
2024-07-10,North,Electronics,8500.00,10,850.00,12.0,100.00,4.8,No,650.00,13.0,57,Credit Card
2024-07-12,South,Home & Kitchen,480.00,3,160.00,5.0,29.00,3.8,No,115.00,29.0,33,Debit Card
2024-07-13,East,Clothing,630.00,9,70.00,18.0,34.00,3.3,Yes,175.00,40.0,20,UPI
2024-07-15,West,Electronics,1700.00,4,425.00,0.0,54.00,4.5,No,310.00,19.0,45,Credit Card
2024-07-17,North,Home & Kitchen,750.00,5,150.00,10.0,42.00,4.1,No,180.00,26.0,38,Net Banking
2024-07-18,South,Clothing,310.00,4,77.50,12.0,18.00,3.9,No,110.00,36.0,24,UPI
2024-07-20,East,Electronics,3100.00,6,516.67,8.0,72.00,4.6,No,490.00,16.0,50,Credit Card
2024-07-22,West,Home & Kitchen,550.00,4,137.50,8.0,33.00,3.7,No,128.00,28.0,36,Debit Card
2024-07-23,North,Clothing,710.00,11,64.55,22.0,36.00,3.4,Yes,195.00,42.0,19,UPI
2024-07-25,South,Electronics,1100.00,2,550.00,0.0,44.00,4.4,No,240.00,22.0,41,Credit Card
2024-07-27,East,Home & Kitchen,980.00,6,163.33,10.0,48.00,4.0,No,225.00,24.0,43,Net Banking
2024-07-28,West,Clothing,340.00,5,68.00,10.0,19.00,4.1,No,120.00,36.0,26,UPI
2024-07-30,North,Electronics,2500.00,5,500.00,8.0,64.00,4.3,No,410.00,17.0,49,Credit Card
2024-08-01,South,Home & Kitchen,,4,140.00,5.0,28.00,3.8,No,112.00,30.0,34,Debit Card
2024-08-02,East,Clothing,580.00,,72.50,15.0,31.00,4.2,No,155.00,38.0,27,UPI
2024-08-03,West,Electronics,14000.00,8,1750.00,10.0,115.00,,No,750.00,12.0,59,Credit Card
2024-08-05,North,Home & Kitchen,690.00,5,138.00,10.0,,4.0,No,165.00,27.0,37,Net Banking
2024-08-06,South,Clothing,290.00,4,72.50,12.0,17.00,4.0,No,,35.0,25,UPI
2024-08-08,East,Electronics,1950.00,4,487.50,5.0,56.00,4.5,No,340.00,,44,Credit Card
2024-08-10,West,Home & Kitchen,520.00,3,173.33,0.0,30.00,3.9,No,122.00,29.0,,Debit Card
2024-08-11,North,Clothing,450.00,7,64.29,18.0,26.00,,Yes,145.00,40.0,22,UPI
2024-08-13,South,Electronics,,3,450.00,5.0,48.00,4.6,No,270.00,21.0,43,Credit Card
2024-08-15,East,Home & Kitchen,850.00,,141.67,12.0,44.00,4.1,No,200.00,25.0,40,Net Banking
2024-08-16,West,Clothing,380.00,6,,10.0,21.00,4.0,No,130.00,36.0,26,UPI
2024-08-18,North,Electronics,2800.00,5,560.00,,68.00,4.7,No,450.00,16.0,52,Credit Card
2024-08-20,South,Home & Kitchen,510.00,4,127.50,5.0,,3.7,No,120.00,29.0,33,Debit Card
2024-08-21,East,Clothing,650.00,9,72.22,20.0,34.00,3.3,Yes,,41.0,21,UPI
2024-08-23,West,Electronics,1600.00,3,533.33,5.0,52.00,4.5,No,300.00,,45,Credit Card
2024-08-25,North,Home & Kitchen,730.00,5,146.00,10.0,40.00,4.0,No,175.00,26.0,,Net Banking
2024-08-26,South,Clothing,320.00,5,64.00,12.0,19.00,,No,115.00,36.0,24,UPI
2024-08-28,East,Electronics,3500.00,7,500.00,8.0,76.00,4.6,No,530.00,15.0,53,Credit Card
2024-08-30,West,Home & Kitchen,460.00,3,153.33,0.0,27.00,3.8,No,110.00,30.0,35,Debit Card
2024-09-01,North,Clothing,600.00,8,75.00,18.0,32.00,3.5,Yes,170.00,39.0,23,UPI
2024-09-02,South,Electronics,1200.00,2,600.00,0.0,46.00,4.4,No,250.00,22.0,42,Credit Card
2024-09-04,East,Home & Kitchen,1100.00,7,157.14,10.0,48.00,4.1,No,245.00,24.0,44,Net Banking
2024-09-05,West,Clothing,400.00,6,66.67,15.0,22.00,4.0,No,138.00,37.0,27,UPI
2024-09-07,North,Electronics,2400.00,5,480.00,8.0,62.00,4.3,No,400.00,17.0,48,Credit Card
2024-09-09,South,Home & Kitchen,480.00,3,160.00,5.0,28.00,3.6,No,115.00,31.0,32,Debit Card
2024-09-10,East,Clothing,540.00,8,67.50,20.0,29.00,4.3,No,158.00,38.0,26,UPI
2024-09-12,West,Electronics,1750.00,3,583.33,5.0,54.00,4.5,No,310.00,20.0,43,Credit Card
2024-09-14,North,Home & Kitchen,820.00,6,136.67,12.0,44.00,3.9,No,195.00,25.0,39,Net Banking
2024-09-15,South,Clothing,350.00,5,70.00,10.0,20.00,4.1,No,128.00,35.0,25,UPI
2024-09-17,East,Electronics,4800.00,9,533.33,10.0,88.00,4.7,No,620.00,14.0,55,Credit Card
2024-09-19,West,Home & Kitchen,530.00,4,132.50,5.0,32.00,3.7,No,125.00,29.0,34,Debit Card
2024-09-20,North,Clothing,690.00,10,69.00,22.0,35.00,3.4,Yes,185.00,41.0,20,UPI
2024-09-22,South,Electronics,1000.00,2,500.00,0.0,42.00,4.5,No,230.00,23.0,40,Credit Card
2024-09-24,East,Home & Kitchen,960.00,6,160.00,10.0,46.00,4.0,No,220.00,24.0,42,Net Banking
2024-09-25,West,Clothing,380.00,6,63.33,15.0,21.00,4.2,No,132.00,36.0,27,UPI
2024-09-27,North,Electronics,3000.00,6,500.00,8.0,72.00,4.6,No,470.00,16.0,51,Credit Card
2024-09-29,South,Home & Kitchen,450.00,3,150.00,5.0,27.00,3.8,No,108.00,30.0,33,Debit Card
2024-09-30,East,Clothing,520.00,7,74.29,18.0,28.00,3.5,Yes,152.00,39.0,22,UPI
2024-10-02,West,Electronics,1500.00,3,500.00,5.0,50.00,4.4,No,280.00,20.0,44,Credit Card
2024-10-04,North,Home & Kitchen,780.00,5,156.00,10.0,42.00,4.1,No,185.00,26.0,38,Net Banking
2024-10-05,South,Clothing,330.00,5,66.00,12.0,19.00,4.0,No,118.00,35.0,25,UPI
2024-10-07,East,Electronics,6000.00,10,600.00,12.0,95.00,4.8,No,680.00,13.0,56,Credit Card
2024-10-09,West,Home & Kitchen,490.00,3,163.33,0.0,29.00,3.9,No,115.00,28.0,36,Debit Card
2024-10-10,North,Clothing,610.00,9,67.78,20.0,33.00,3.3,Yes,170.00,42.0,21,UPI
2024-10-12,South,Electronics,1350.00,3,450.00,5.0,48.00,4.5,No,270.00,21.0,41,Credit Card
2024-10-14,East,Home & Kitchen,880.00,6,146.67,10.0,45.00,4.0,No,205.00,25.0,43,Net Banking
2024-10-15,West,Clothing,360.00,5,72.00,15.0,20.00,4.2,No,128.00,37.0,27,UPI
2024-10-17,North,Electronics,2100.00,4,525.00,8.0,58.00,4.3,No,360.00,18.0,47,Credit Card
2024-10-19,South,Home & Kitchen,500.00,4,125.00,5.0,30.00,3.7,No,120.00,30.0,34,Debit Card
2024-10-20,East,Clothing,570.00,8,71.25,18.0,30.00,4.1,No,158.00,38.0,26,UPI
2024-10-22,West,Electronics,1800.00,4,450.00,0.0,56.00,4.6,No,320.00,19.0,45,Credit Card
2024-10-24,North,Home & Kitchen,700.00,5,140.00,10.0,40.00,3.8,No,168.00,27.0,37,Net Banking
2024-10-25,South,Clothing,300.00,4,75.00,12.0,18.00,4.0,No,108.00,36.0,24,UPI
2024-10-27,East,Electronics,2800.00,5,560.00,10.0,68.00,4.5,No,440.00,16.0,50,Credit Card
2024-10-29,West,Home & Kitchen,550.00,4,137.50,8.0,33.00,3.9,No,130.00,29.0,35,Debit Card
2024-10-30,North,Clothing,640.00,10,64.00,22.0,34.00,3.4,Yes,178.00,40.0,22,UPI
2024-11-01,South,Electronics,1150.00,2,575.00,0.0,44.00,4.4,No,245.00,22.0,42,Credit Card
2024-11-03,East,Home & Kitchen,1000.00,7,142.86,12.0,48.00,4.1,No,230.00,24.0,44,Net Banking
2024-11-04,West,Clothing,410.00,6,68.33,15.0,22.00,4.0,No,135.00,37.0,26,UPI
2024-11-06,North,Electronics,2600.00,5,520.00,8.0,64.00,4.6,No,420.00,17.0,49,Credit Card
2024-11-08,South,Home & Kitchen,470.00,3,156.67,5.0,28.00,3.6,No,112.00,31.0,33,Debit Card
2024-11-09,East,Clothing,500.00,7,71.43,18.0,27.00,4.3,No,148.00,39.0,25,UPI
2024-11-11,West,Electronics,1650.00,3,550.00,5.0,52.00,4.5,No,300.00,20.0,43,Credit Card
2024-11-13,North,Home & Kitchen,850.00,6,141.67,10.0,44.00,4.0,No,198.00,25.0,40,Net Banking
2024-11-14,South,Clothing,340.00,5,68.00,10.0,19.00,4.1,No,122.00,35.0,25,UPI
2024-11-16,East,Electronics,3600.00,7,514.29,10.0,78.00,4.7,No,540.00,15.0,54,Credit Card
2024-11-18,West,Home & Kitchen,520.00,4,130.00,5.0,31.00,3.8,No,124.00,29.0,35,Debit Card
2024-11-19,North,Clothing,580.00,9,64.44,20.0,31.00,3.5,Yes,165.00,41.0,21,UPI
2024-11-21,South,Electronics,1300.00,3,433.33,5.0,48.00,4.5,No,265.00,21.0,41,Credit Card
2024-11-23,East,Home & Kitchen,920.00,6,153.33,10.0,46.00,3.9,No,215.00,26.0,42,Net Banking
2024-11-24,West,Clothing,370.00,6,61.67,12.0,21.00,4.0,No,128.00,36.0,26,UPI
2024-11-26,North,Electronics,2200.00,4,550.00,8.0,60.00,4.3,No,380.00,18.0,47,Credit Card
2024-11-28,South,Home & Kitchen,490.00,3,163.33,0.0,29.00,3.7,No,115.00,30.0,34,Debit Card
2024-11-29,East,Clothing,530.00,8,66.25,15.0,28.00,4.2,No,155.00,38.0,27,UPI
2024-12-01,West,Electronics,9500.00,12,791.67,12.0,105.00,4.8,No,700.00,12.0,58,Credit Card
2024-12-03,North,Home & Kitchen,760.00,5,152.00,10.0,42.00,4.0,No,180.00,27.0,38,Net Banking
2024-12-04,South,Clothing,310.00,4,77.50,12.0,18.00,3.9,No,110.00,35.0,24,UPI
2024-12-06,East,Electronics,2500.00,5,500.00,8.0,64.00,4.6,No,410.00,16.0,51,Credit Card
2024-12-08,West,Home & Kitchen,550.00,4,137.50,5.0,33.00,3.8,No,128.00,28.0,36,Debit Card
2024-12-09,North,Clothing,660.00,10,66.00,20.0,34.00,3.4,Yes,180.00,40.0,22,UPI
2024-12-11,South,Electronics,1450.00,3,483.33,0.0,50.00,4.5,No,280.00,20.0,44,Credit Card
2024-12-13,East,Home & Kitchen,1080.00,7,154.29,10.0,48.00,4.1,No,245.00,24.0,43,Net Banking
2024-12-14,West,Clothing,390.00,6,65.00,15.0,22.00,4.0,No,132.00,37.0,27,UPI
2024-12-16,North,Electronics,3200.00,6,533.33,10.0,74.00,4.7,No,500.00,15.0,53,Credit Card
2024-12-18,South,Home & Kitchen,440.00,3,146.67,5.0,26.00,3.6,No,108.00,31.0,32,Debit Card
2024-12-19,East,Clothing,480.00,7,68.57,18.0,26.00,4.3,No,148.00,39.0,24,UPI
2024-12-21,West,Electronics,1600.00,3,533.33,5.0,52.00,4.4,No,300.00,20.0,42,Credit Card
2024-12-23,North,Home & Kitchen,800.00,5,160.00,10.0,42.00,3.9,No,190.00,26.0,39,Net Banking
2024-12-24,South,Clothing,350.00,5,70.00,12.0,20.00,4.1,No,125.00,35.0,25,UPI
2024-12-26,East,Electronics,4000.00,8,500.00,8.0,82.00,4.6,No,560.00,14.0,52,Credit Card
2024-12-28,West,Home & Kitchen,510.00,4,127.50,5.0,30.00,3.7,No,120.00,29.0,35,Debit Card
2024-12-29,North,Clothing,590.00,9,65.56,20.0,32.00,3.5,Yes,168.00,41.0,21,UPI
2024-12-30,South,Electronics,1250.00,2,625.00,0.0,46.00,4.5,No,255.00,22.0,40,Credit Card
2024-12-31,East,Home & Kitchen,950.00,6,158.33,10.0,46.00,4.0,No,220.00,25.0,41,Net Banking
